field,coder,applicable_sector,total_slots,valid_ratings,blank_ratings,out_of_domain_blank_ratings,within_domain_blank_ratings,within_domain_blank_source_ids
cb_benefit_intensity_code,Claude,ALL,65,65,0,0,0,
cb_benefit_intensity_code,Codex,ALL,65,65,0,0,0,
cb_benefit_intensity_code,Gemini,ALL,65,65,0,0,0,
cb_benefit_presence_strength_code,Claude,ALL,65,65,0,0,0,
cb_benefit_presence_strength_code,Codex,ALL,65,65,0,0,0,
cb_benefit_presence_strength_code,Gemini,ALL,65,65,0,0,0,
cb_cost_intensity_code,Claude,ALL,65,65,0,0,0,
cb_cost_intensity_code,Codex,ALL,65,65,0,0,0,
cb_cost_intensity_code,Gemini,ALL,65,65,0,0,0,
cb_cost_presence_strength_code,Claude,ALL,65,65,0,0,0,
cb_cost_presence_strength_code,Codex,ALL,65,65,0,0,0,
cb_cost_presence_strength_code,Gemini,ALL,65,65,0,0,0,
detection_verification_presence_strength_code,Claude,FRM,65,12,53,53,0,
detection_verification_presence_strength_code,Codex,FRM,65,12,53,53,0,
detection_verification_presence_strength_code,Gemini,FRM,65,12,53,53,0,
dppra_a_strength_code,Claude,ALL,65,65,0,0,0,
dppra_a_strength_code,Codex,ALL,65,65,0,0,0,
dppra_a_strength_code,Gemini,ALL,65,65,0,0,0,
dppra_alignment_score_code,Claude,ALL,65,64,1,0,1,SRC_000040
dppra_alignment_score_code,Codex,ALL,65,65,0,0,0,
dppra_alignment_score_code,Gemini,ALL,65,65,0,0,0,
dppra_d_strength_code,Claude,ALL,65,65,0,0,0,
dppra_d_strength_code,Codex,ALL,65,65,0,0,0,
dppra_d_strength_code,Gemini,ALL,65,65,0,0,0,
dppra_p1_strength_code,Claude,ALL,65,65,0,0,0,
dppra_p1_strength_code,Codex,ALL,65,65,0,0,0,
dppra_p1_strength_code,Gemini,ALL,65,65,0,0,0,
dppra_p2_strength_code,Claude,ALL,65,65,0,0,0,
dppra_p2_strength_code,Codex,ALL,65,65,0,0,0,
dppra_p2_strength_code,Gemini,ALL,65,65,0,0,0,
dppra_r_strength_code,Claude,ALL,65,65,0,0,0,
dppra_r_strength_code,Codex,ALL,65,65,0,0,0,
dppra_r_strength_code,Gemini,ALL,65,65,0,0,0,
eth_accountability_code,Claude,ALL,65,65,0,0,0,
eth_accountability_code,Codex,ALL,65,65,0,0,0,
eth_accountability_code,Gemini,ALL,65,65,0,0,0,
eth_autonomy_code,Claude,ALL,65,65,0,0,0,
eth_autonomy_code,Codex,ALL,65,65,0,0,0,
eth_autonomy_code,Gemini,ALL,65,65,0,0,0,
eth_beneficence_eth_code,Claude,ALL,65,65,0,0,0,
eth_beneficence_eth_code,Codex,ALL,65,65,0,0,0,
eth_beneficence_eth_code,Gemini,ALL,65,65,0,0,0,
eth_beneficence_mech_code,Claude,ALL,65,65,0,0,0,
eth_beneficence_mech_code,Codex,ALL,65,65,0,0,0,
eth_beneficence_mech_code,Gemini,ALL,65,65,0,0,0,
eth_equity_code,Claude,ALL,65,65,0,0,0,
eth_equity_code,Codex,ALL,65,65,0,0,0,
eth_equity_code,Gemini,ALL,65,65,0,0,0,
eth_integrity_code,Claude,ALL,65,65,0,0,0,
eth_integrity_code,Codex,ALL,65,65,0,0,0,
eth_integrity_code,Gemini,ALL,65,65,0,0,0,
eth_justice_code,Claude,ALL,65,65,0,0,0,
eth_justice_code,Codex,ALL,65,65,0,0,0,
eth_justice_code,Gemini,ALL,65,65,0,0,0,
eth_nonmaleficence_code,Claude,ALL,65,65,0,0,0,
eth_nonmaleficence_code,Codex,ALL,65,65,0,0,0,
eth_nonmaleficence_code,Gemini,ALL,65,65,0,0,0,
eth_privacy_code,Claude,ALL,65,65,0,0,0,
eth_privacy_code,Codex,ALL,65,65,0,0,0,
eth_privacy_code,Gemini,ALL,65,65,0,0,0,
eth_transparency_code,Claude,ALL,65,65,0,0,0,
eth_transparency_code,Codex,ALL,65,65,0,0,0,
eth_transparency_code,Gemini,ALL,65,65,0,0,0,
int_academic_intensity_code,Claude,ALL,65,65,0,0,0,
int_academic_intensity_code,Codex,ALL,65,65,0,0,0,
int_academic_intensity_code,Gemini,ALL,65,65,0,0,0,
int_assessment_intensity_code,Claude,ALL,65,65,0,0,0,
int_assessment_intensity_code,Codex,ALL,65,65,0,0,0,
int_assessment_intensity_code,Gemini,ALL,65,65,0,0,0,
int_data_prov_intensity_code,Claude,ALL,65,65,0,0,0,
int_data_prov_intensity_code,Codex,ALL,65,65,0,0,0,
int_data_prov_intensity_code,Gemini,ALL,65,65,0,0,0,
int_epistemic_intensity_code,Claude,ALL,65,65,0,0,0,
int_epistemic_intensity_code,Codex,ALL,65,65,0,0,0,
int_epistemic_intensity_code,Gemini,ALL,65,65,0,0,0,
int_research_intensity_code,Claude,ALL,65,65,0,0,0,
int_research_intensity_code,Codex,ALL,65,65,0,0,0,
int_research_intensity_code,Gemini,ALL,65,65,0,0,0,
int_system_tevv_intensity_code,Claude,ALL,65,65,0,0,0,
int_system_tevv_intensity_code,Codex,ALL,65,65,0,0,0,
int_system_tevv_intensity_code,Gemini,ALL,65,65,0,0,0,
journal_evidence_quality_strength_code,Claude,JRN,65,14,51,51,0,
journal_evidence_quality_strength_code,Codex,JRN,65,14,51,51,0,
journal_evidence_quality_strength_code,Gemini,JRN,65,14,51,51,0,
surveillance_monitoring_presence_strength_code,Claude,FRM,65,12,53,53,0,
surveillance_monitoring_presence_strength_code,Codex,FRM,65,12,53,53,0,
surveillance_monitoring_presence_strength_code,Gemini,FRM,65,12,53,53,0,
