source_id,sector,Claude,Codex,Gemini
SRC_000002,GOV,3.7,3.8,3.8
SRC_000003,GOV,3.3,3.9,3.4
SRC_000004,GOV,3.3,3.9,3.8
SRC_000005,GOV,2.4,3.3,3.3
SRC_000006,JRN,3.3,3.8,3.3
SRC_000007,JRN,3.7,4.0,3.9
SRC_000008,JRN,2.1,3.6,3.0
SRC_000009,JRN,3.3,3.8,3.6
SRC_000010,FRM,2.5,3.4,2.7
SRC_000011,FRM,1.9,3.0,2.5
SRC_000012,FRM,2.2,3.0,2.1
SRC_000013,FRM,2.1,2.5,2.5
SRC_000014,FRM,2.0,3.0,2.3
SRC_000015,COR,2.9,3.3,3.3
SRC_000016,COR,2.3,2.9,2.9
SRC_000017,INS,3.0,3.5,3.4
SRC_000018,INS,3.2,3.8,3.2
SRC_000019,INS,2.2,3.5,2.7
SRC_000020,GOV,3.8,4.1,3.6
SRC_000021,GOV,3.0,4.0,3.6
SRC_000022,GOV,3.1,3.9,3.5
SRC_000023,GOV,2.9,3.5,3.3
SRC_000024,INS,3.6,4.1,3.7
SRC_000025,COR,2.3,3.4,3.4
SRC_000026,COR,1.9,3.0,2.5
SRC_000027,COR,2.8,3.6,3.3
SRC_000028,GOV,2.9,3.6,3.6
SRC_000029,INS,3.2,4.1,3.6
SRC_000030,INS,2.5,3.4,3.1
SRC_000031,GOV,3.1,3.7,3.3
SRC_000032,INS,2.9,4.0,3.8
SRC_000033,INS,2.6,3.6,3.6
SRC_000034,INS,3.1,3.8,3.3
SRC_000035,JRN,2.9,3.7,3.3
SRC_000036,JRN,3.1,3.7,3.1
SRC_000037,JRN,3.4,4.0,3.0
SRC_000038,JRN,3.3,4.0,3.3
SRC_000039,JRN,3.0,3.5,3.2
SRC_000040,FRM,0.6,1.8,1.8
SRC_000041,FRM,1.9,3.1,2.5
SRC_000042,JRN,2.7,3.3,2.2
SRC_000043,JRN,2.1,2.7,2.3
SRC_000044,JRN,2.1,3.3,2.2
SRC_000045,JRN,3.2,3.9,2.9
SRC_000046,JRN,3.0,3.7,3.3
SRC_000047,INS,2.4,3.2,3.2
SRC_000048,INS,3.1,3.7,3.4
SRC_000049,INS,2.8,3.4,3.0
SRC_000050,INS,3.5,3.9,4.0
SRC_000051,INS,3.5,3.9,3.5
SRC_000052,GOV,3.5,4.0,3.5
SRC_000053,GOV,3.2,4.0,3.8
SRC_000054,GOV,2.7,3.8,3.5
SRC_000055,GOV,3.2,3.8,2.8
SRC_000056,GOV,3.7,3.9,4.0
SRC_000057,FRM,0.8,1.5,1.9
SRC_000058,FRM,1.6,2.1,1.3
SRC_000059,FRM,2.1,3.4,2.5
SRC_000060,FRM,2.8,3.7,3.2
SRC_000061,FRM,1.2,1.8,1.2
SRC_000062,COR,2.1,3.2,2.6
SRC_000063,COR,2.1,3.1,2.8
SRC_000064,COR,2.9,4.0,3.8
SRC_000065,COR,2.1,3.9,3.2
SRC_000066,COR,2.5,3.3,2.4
