field,n_common_documents
cb_benefit_intensity_code,65
cb_benefit_presence_strength_code,65
cb_cost_intensity_code,65
cb_cost_presence_strength_code,65
detection_verification_presence_strength_code,12
dppra_a_strength_code,65
dppra_alignment_score_code,64
dppra_d_strength_code,65
dppra_p1_strength_code,65
dppra_p2_strength_code,65
dppra_r_strength_code,65
eth_accountability_code,65
eth_autonomy_code,65
eth_beneficence_eth_code,65
eth_beneficence_mech_code,65
eth_equity_code,65
eth_integrity_code,65
eth_justice_code,65
eth_nonmaleficence_code,65
eth_privacy_code,65
eth_transparency_code,65
int_academic_intensity_code,65
int_assessment_intensity_code,65
int_data_prov_intensity_code,65
int_epistemic_intensity_code,65
int_research_intensity_code,65
int_system_tevv_intensity_code,65
journal_evidence_quality_strength_code,14
surveillance_monitoring_presence_strength_code,12
