sector,source_id,field,Claude,Codex,Gemini
COR,SRC_000015,assessment_object_code,99,99,99
COR,SRC_000016,assessment_object_code,99,99,99
COR,SRC_000025,assessment_object_code,99,99,99
COR,SRC_000026,assessment_object_code,99,99,99
COR,SRC_000027,assessment_object_code,99,99,99
COR,SRC_000062,assessment_object_code,99,99,99
COR,SRC_000063,assessment_object_code,99,99,99
COR,SRC_000064,assessment_object_code,99,99,99
COR,SRC_000065,assessment_object_code,99,99,99
COR,SRC_000066,assessment_object_code,99,99,99
FRM,SRC_000010,assessment_object_code,99,13,0
FRM,SRC_000011,assessment_object_code,99,14,0
FRM,SRC_000012,assessment_object_code,12,12,12
FRM,SRC_000013,assessment_object_code,99,14,14
FRM,SRC_000014,assessment_object_code,9,9,99
FRM,SRC_000040,assessment_object_code,12,12,12
FRM,SRC_000041,assessment_object_code,12,12,12
FRM,SRC_000057,assessment_object_code,99,16,99
FRM,SRC_000058,assessment_object_code,99,0,99
FRM,SRC_000059,assessment_object_code,99,0,99
FRM,SRC_000060,assessment_object_code,99,0,99
FRM,SRC_000061,assessment_object_code,99,0,0
GOV,SRC_000002,assessment_object_code,99,99,99
GOV,SRC_000003,assessment_object_code,99,99,99
GOV,SRC_000004,assessment_object_code,99,99,99
GOV,SRC_000005,assessment_object_code,99,99,99
GOV,SRC_000020,assessment_object_code,99,99,99
GOV,SRC_000021,assessment_object_code,99,99,99
GOV,SRC_000022,assessment_object_code,99,99,99
GOV,SRC_000023,assessment_object_code,99,99,99
GOV,SRC_000028,assessment_object_code,99,99,99
GOV,SRC_000031,assessment_object_code,99,99,99
GOV,SRC_000052,assessment_object_code,99,99,99
GOV,SRC_000053,assessment_object_code,99,99,99
GOV,SRC_000054,assessment_object_code,99,99,99
GOV,SRC_000055,assessment_object_code,99,99,99
GOV,SRC_000056,assessment_object_code,99,99,99
INS,SRC_000017,assessment_object_code,99,99,99
INS,SRC_000018,assessment_object_code,99,99,99
INS,SRC_000019,assessment_object_code,99,99,99
INS,SRC_000024,assessment_object_code,99,99,99
INS,SRC_000029,assessment_object_code,99,99,99
INS,SRC_000030,assessment_object_code,99,99,99
INS,SRC_000032,assessment_object_code,99,99,99
INS,SRC_000033,assessment_object_code,99,99,99
INS,SRC_000034,assessment_object_code,99,99,99
INS,SRC_000047,assessment_object_code,99,99,99
INS,SRC_000048,assessment_object_code,99,99,99
INS,SRC_000049,assessment_object_code,99,99,99
INS,SRC_000050,assessment_object_code,99,99,99
INS,SRC_000051,assessment_object_code,99,99,99
JRN,SRC_000006,assessment_object_code,99,99,99
JRN,SRC_000007,assessment_object_code,99,99,99
JRN,SRC_000008,assessment_object_code,99,99,99
JRN,SRC_000009,assessment_object_code,99,99,99
JRN,SRC_000035,assessment_object_code,99,99,99
JRN,SRC_000036,assessment_object_code,99,99,99
JRN,SRC_000037,assessment_object_code,99,99,99
JRN,SRC_000038,assessment_object_code,99,99,99
JRN,SRC_000039,assessment_object_code,99,99,99
JRN,SRC_000042,assessment_object_code,99,99,99
JRN,SRC_000043,assessment_object_code,99,99,99
JRN,SRC_000044,assessment_object_code,99,99,99
JRN,SRC_000045,assessment_object_code,99,99,99
JRN,SRC_000046,assessment_object_code,99,99,99
COR,SRC_000015,cb_balance_code,1,3,4
COR,SRC_000016,cb_balance_code,3,3,3
COR,SRC_000025,cb_balance_code,1,1,1
COR,SRC_000026,cb_balance_code,3,3,4
COR,SRC_000027,cb_balance_code,1,3,3
COR,SRC_000062,cb_balance_code,2,3,3
COR,SRC_000063,cb_balance_code,2,3,3
COR,SRC_000064,cb_balance_code,1,4,1
COR,SRC_000065,cb_balance_code,1,1,1
COR,SRC_000066,cb_balance_code,1,1,1
FRM,SRC_000010,cb_balance_code,4,4,4
FRM,SRC_000011,cb_balance_code,4,4,4
FRM,SRC_000012,cb_balance_code,4,4,4
FRM,SRC_000013,cb_balance_code,4,4,4
FRM,SRC_000014,cb_balance_code,4,4,4
FRM,SRC_000040,cb_balance_code,4,3,4
FRM,SRC_000041,cb_balance_code,3,3,3
FRM,SRC_000057,cb_balance_code,1,1,1
FRM,SRC_000058,cb_balance_code,3,3,3
FRM,SRC_000059,cb_balance_code,4,4,4
FRM,SRC_000060,cb_balance_code,3,4,4
FRM,SRC_000061,cb_balance_code,1,4,1
GOV,SRC_000002,cb_balance_code,1,3,3
GOV,SRC_000003,cb_balance_code,1,4,3
GOV,SRC_000004,cb_balance_code,1,1,3
GOV,SRC_000005,cb_balance_code,1,3,3
GOV,SRC_000020,cb_balance_code,3,3,4
GOV,SRC_000021,cb_balance_code,3,3,3
GOV,SRC_000022,cb_balance_code,2,3,3
GOV,SRC_000023,cb_balance_code,4,3,4
GOV,SRC_000028,cb_balance_code,1,3,3
GOV,SRC_000031,cb_balance_code,4,4,4
GOV,SRC_000052,cb_balance_code,4,3,4
GOV,SRC_000053,cb_balance_code,3,3,3
GOV,SRC_000054,cb_balance_code,3,3,3
GOV,SRC_000055,cb_balance_code,1,1,1
GOV,SRC_000056,cb_balance_code,3,3,3
INS,SRC_000017,cb_balance_code,1,3,3
INS,SRC_000018,cb_balance_code,4,4,4
INS,SRC_000019,cb_balance_code,3,3,3
INS,SRC_000024,cb_balance_code,1,3,3
INS,SRC_000029,cb_balance_code,3,3,3
INS,SRC_000030,cb_balance_code,4,4,4
INS,SRC_000032,cb_balance_code,2,4,3
INS,SRC_000033,cb_balance_code,3,4,3
INS,SRC_000034,cb_balance_code,3,3,1
INS,SRC_000047,cb_balance_code,1,3,1
INS,SRC_000048,cb_balance_code,4,4,4
INS,SRC_000049,cb_balance_code,3,3,3
INS,SRC_000050,cb_balance_code,3,3,3
INS,SRC_000051,cb_balance_code,4,4,4
JRN,SRC_000006,cb_balance_code,4,4,3
JRN,SRC_000007,cb_balance_code,3,3,4
JRN,SRC_000008,cb_balance_code,3,3,4
JRN,SRC_000009,cb_balance_code,4,4,4
JRN,SRC_000035,cb_balance_code,1,4,3
JRN,SRC_000036,cb_balance_code,4,4,4
JRN,SRC_000037,cb_balance_code,4,4,4
JRN,SRC_000038,cb_balance_code,4,4,4
