field,available_n_Claude,available_n_Codex,available_n_Gemini,complete_documents,discordant_documents,categories,original_chi2,original_df,original_p,original_bonferroni,complete_chi2,complete_independent_p,paired_permutation_p,paired_bonferroni,exceedances,permutations,seed,expected_cells_below5
assessment_object_code,64,64,65,3,0,1,10.313930727702529,10,0.41339620861071685,1,0.0,1.0,1.0,1,199999,199999,20260914,3
cb_balance_code,65,65,65,65,31,4,15.30114928533846,6,0.01803942511566282,0.30667022696626794,15.30114928533846,0.01803942511566282,0.000245,0.004165,48,199999,20260915,3
cb_benefit_evidence_label_code,65,65,65,65,30,3,8.12290585618977,4,0.08717834238389571,1,8.12290585618977,0.08717834238389571,0.02449,0.41633000000000003,4897,199999,20260916,0
cb_cost_evidence_label_code,65,65,65,65,30,4,16.92790410717433,6,0.009551891530390596,0.16238215601664013,16.92790410717433,0.009551891530390596,0.000465,0.007905,92,199999,20260917,6
cb_distribution_direction_code,65,65,65,65,41,5,36.033253949353025,8,1.7315726032682897e-05,0.0002943673425556092,36.033253949353025,1.7315726032682897e-05,5e-06,8.5e-05,0,199999,20260918,0
cb_primary_cost_bearer_code,64,65,63,62,29,7,26.02417527779329,12,0.01064966629085227,0.18104432694448858,27.060051435051435,0.007574823670657252,1e-05,0.00017,1,199999,20260919,12
cb_primary_material_beneficiary_code,65,65,65,65,25,6,10.725625722291703,10,0.3792900358728462,1,10.725625722291703,0.3792900358728462,0.047555,0.808435,9510,199999,20260920,9
cb_primary_value_capturer_code,62,65,64,61,24,5,8.379674807750835,8,0.39728785966007707,1,8.34487736331119,0.4005268073937242,0.067485,1,13496,199999,20260921,6
dominant_value_type_code,65,65,65,65,13,6,3.1159899128649124,10,0.9785610350156387,1,3.1159899128649124,0.9785610350156387,0.55811,1,111621,199999,20260922,12
external_link_boundary_code,12,12,15,12,6,3,6.702222222222221,4,0.1524863994593322,1,6.631578947368421,0.1566863557901408,0.016315,0.277355,3262,199999,20260923,3
journal_level_of_analysis_code,14,14,14,14,5,4,7.2176470588235295,6,0.30118763310048674,1,7.2176470588235295,0.30118763310048674,0.111885,1,22376,199999,20260924,6
journal_method_evidence_label_code,14,14,14,14,9,3,8.725714285714286,4,0.06833315073035656,1,8.725714285714286,0.06833315073035656,0.024835,0.422195,4966,199999,20260925,6
journal_method_type_code,14,14,14,14,2,3,0.6176470588235294,4,0.9610826545093306,1,0.6176470588235294,0.9610826545093306,1.0,1,199999,199999,20260926,3
journal_source_type_code,14,14,14,14,3,4,5.4333333333333345,6,0.48955061573588327,1,5.4333333333333345,0.48955061573588327,0.222515,1,44502,199999,20260927,6
learner_posture_code,3,6,7,3,1,2,0.9177489177489178,4,0.9220007527041909,1,1.2857142857142858,0.5257880244257798,1.0,1,199999,199999,20260928,6
overall_dominant_valence_code,12,12,12,12,6,4,6.65,6,0.35443048243027614,1,6.65,0.35443048243027614,0.057735,0.981495,11546,199999,20260929,12
responsibility_concentration_code,65,65,65,65,31,4,37.00363636363637,6,1.7580170644227616e-06,2.9886290095186945e-05,37.00363636363637,1.7580170644227616e-06,5e-06,8.5e-05,0,199999,20260930,3
