field,type,n_docs,pct_agree,fleiss_kappa,kripp_alpha
assessment_object_code,nominal,64,88,0.538,0.54
cb_balance_code,nominal,65,52,0.486,0.489
cb_benefit_access_equity_code,binary,65,57,0.376,0.379
cb_benefit_accessibility_assistive_code,binary,65,62,0.398,0.401
cb_benefit_consistency_standardization_code,binary,65,74,0.523,0.526
cb_benefit_efficiency_labor_saving_code,binary,65,65,0.373,0.376
cb_benefit_evidence_label_code,nominal,65,54,0.265,0.269
cb_benefit_financial_cost_saving_code,binary,65,72,0.539,0.541
cb_benefit_intensity_code,ordinal05,65,12,0.035,0.233
cb_benefit_learning_pedagogical_code,binary,65,58,0.382,0.385
cb_benefit_market_profit_code,binary,65,65,0.528,0.53
cb_benefit_presence_strength_code,ordinal05,65,17,0.056,0.305
cb_benefit_public_good_code,binary,65,86,0.42,0.423
cb_benefit_quality_accuracy_code,binary,65,66,0.295,0.298
cb_benefit_rights_protection_code,binary,65,71,0.582,0.584
cb_cost_access_inequality_code,binary,65,74,0.601,0.603
cb_cost_cognitive_psychological_code,binary,65,57,0.409,0.412
cb_cost_compliance_burden_code,binary,65,58,0.432,0.435
cb_cost_credential_opportunity_code,binary,65,51,0.215,0.219
cb_cost_environmental_infrastructure_code,binary,65,66,0.5,0.502
cb_cost_evidence_label_code,nominal,65,54,0.371,0.374
cb_cost_financial_code,binary,65,46,0.229,0.233
cb_cost_intensity_code,ordinal05,65,17,0.046,0.259
cb_cost_presence_strength_code,ordinal05,65,22,0.09,0.327
cb_cost_privacy_data_code,binary,65,85,0.57,0.572
cb_cost_rights_remedy_gap_code,binary,65,65,0.527,0.529
cb_cost_surveillance_control_code,binary,65,66,0.546,0.548
cb_distribution_direction_code,nominal,65,37,0.397,0.4
cb_primary_cost_bearer_code,nominal,65,53,0.443,0.445
cb_primary_material_beneficiary_code,nominal,65,62,0.543,0.546
cb_primary_value_capturer_code,nominal,65,61,0.518,0.511
decoupling_signal_code,ordinal_other,65,26,0.279,0.432
detection_verification_presence_binary_code,binary,12,67,0.071,0.097
detection_verification_presence_strength_code,ordinal05,12,67,-0.006,0.089
dominant_value_type_code,nominal,65,80,0.714,0.715
dppra_a_strength_code,ordinal05,65,34,0.305,0.635
dppra_alignment_score_code,ordinal05,65,23,0.251,0.617
dppra_d_strength_code,ordinal05,65,25,0.108,0.312
dppra_p1_strength_code,ordinal05,65,26,0.221,0.548
dppra_p2_strength_code,ordinal05,65,25,0.239,0.522
dppra_r_strength_code,ordinal05,65,37,0.396,0.76
eth_accountability_code,ordinal05,65,37,0.242,0.564
eth_autonomy_code,ordinal05,65,26,0.209,0.512
eth_beneficence_eth_code,ordinal05,65,14,0.089,0.386
eth_beneficence_mech_code,ordinal05,65,17,0.154,0.51
eth_equity_code,ordinal05,65,22,0.274,0.745
eth_integrity_code,ordinal05,65,17,-0.022,0.108
eth_justice_code,ordinal05,65,17,0.183,0.634
eth_nonmaleficence_code,ordinal05,65,23,0.193,0.572
eth_privacy_code,ordinal05,65,34,0.402,0.797
eth_transparency_code,ordinal05,65,48,0.391,0.707
external_link_boundary_code,nominal,12,50,0.363,0.381
gov_binding_status_code,nominal,16,60,0.569,0.598
gov_compliance_mechanism_code,nominal,16,73,0.1,0.124
gov_enforcement_density_code,nominal,16,33,0.372,0.356
gov_fria_present_code,nominal,16,27,0.135,0.201
gov_opensource_carveout_code,nominal,16,53,0.325,0.349
gov_remedy_present_code,nominal,16,67,0.624,0.64
gov_sanction_present_code,nominal,16,80,0.709,0.722
gov_sector_carveout_code,nominal,16,20,0.184,0.244
gov_standards_displacement_code,nominal,16,100,,1.0
int_academic_intensity_code,ordinal05,65,75,0.398,0.55
int_academic_presence_code,binary,65,80,0.501,0.504
int_assessment_intensity_code,ordinal05,65,60,0.292,0.346
int_assessment_presence_code,binary,65,66,0.364,0.368
int_data_prov_intensity_code,ordinal05,65,26,0.261,0.574
int_data_prov_presence_code,binary,65,80,0.537,0.539
int_epistemic_intensity_code,ordinal05,65,14,0.069,0.27
int_epistemic_presence_code,binary,65,82,0.077,0.081
int_research_intensity_code,ordinal05,65,38,0.141,0.393
int_research_presence_code,binary,65,52,0.29,0.294
int_system_tevv_intensity_code,ordinal05,65,32,0.3,0.647
int_system_tevv_presence_code,binary,65,91,0.704,0.706
journal_empirical_basis_binary_code,binary,14,86,0.754,0.76
journal_evidence_quality_strength_code,ordinal05,14,36,0.27,0.474
journal_level_of_analysis_code,nominal,14,64,0.605,0.614
journal_method_evidence_label_code,nominal,14,36,0.236,0.255
journal_method_type_code,nominal,14,86,0.794,0.799
journal_source_type_code,nominal,14,79,0.756,0.762
learner_posture_code,nominal,6,67,0.357,0.5
market_capture_signal_code,ordinal_other,65,32,0.321,0.571
overall_dominant_valence_code,nominal,12,50,0.508,0.522
responsibility_concentration_code,nominal,65,52,0.16,0.165
surveillance_monitoring_presence_binary_code,binary,12,83,0.738,0.745
surveillance_monitoring_presence_strength_code,ordinal05,12,67,0.511,0.723
